prompt_id,register,label,y_true,y_pred,correct,true_label,pred_label,prob_institutional,prob_popular_media,prob_critical_media,confidence
A015,institutional,0,0,2,False,institutional,critical_media,0.351,0.1353,0.5137,0.5137062479818812
B007,popular_media,1,1,1,True,popular_media,popular_media,0.1712,0.5598,0.269,0.5598013619071007
C008,critical_media,2,2,2,True,critical_media,critical_media,0.2855,0.2133,0.5012,0.5012078959840296
A008,institutional,0,0,0,True,institutional,institutional,0.6222,0.1162,0.2616,0.6221828725761281
A029,institutional,0,0,0,True,institutional,institutional,0.5588,0.177,0.2642,0.5588499363158247
A052,institutional,0,0,2,False,institutional,critical_media,0.1746,0.1649,0.6606,0.6605754596878782
C007,critical_media,2,2,0,False,critical_media,institutional,0.5035,0.1206,0.3759,0.5034863044077383
B035,popular_media,1,1,1,True,popular_media,popular_media,0.1657,0.6421,0.1922,0.6420766349365998
C034,critical_media,2,2,0,False,critical_media,institutional,0.4624,0.2652,0.2724,0.46237689459360226
C048,critical_media,2,2,2,True,critical_media,critical_media,0.2938,0.2095,0.4968,0.49676911682120883
B017,popular_media,1,1,1,True,popular_media,popular_media,0.1298,0.7288,0.1414,0.7287667402934664
C023,critical_media,2,2,2,True,critical_media,critical_media,0.3653,0.2459,0.3888,0.38878081102838646
C024,critical_media,2,2,2,True,critical_media,critical_media,0.2267,0.2115,0.5618,0.5618170930833605
C041,critical_media,2,2,0,False,critical_media,institutional,0.5001,0.2978,0.2021,0.5000994188095992
A019,institutional,0,0,0,True,institutional,institutional,0.4761,0.1442,0.3797,0.4760971040518673
A023,institutional,0,0,0,True,institutional,institutional,0.4017,0.2994,0.2989,0.4017156060886755
B050,popular_media,1,1,1,True,popular_media,popular_media,0.1212,0.7835,0.0953,0.7834738333215706
A060,institutional,0,0,0,True,institutional,institutional,0.6159,0.1693,0.2147,0.6159496090233978
C037,critical_media,2,2,2,True,critical_media,critical_media,0.3097,0.3035,0.3868,0.38682884459489647
B040,popular_media,1,1,1,True,popular_media,popular_media,0.1435,0.7513,0.1051,0.7513495030790731
A050,institutional,0,0,0,True,institutional,institutional,0.4071,0.2495,0.3434,0.4071134453802069
B047,popular_media,1,1,1,True,popular_media,popular_media,0.2072,0.5681,0.2247,0.5680960133857147
A011,institutional,0,0,0,True,institutional,institutional,0.5841,0.2322,0.1837,0.5840979031932808
A043,institutional,0,0,0,True,institutional,institutional,0.6522,0.0799,0.2679,0.6521764326888772
C012,critical_media,2,2,0,False,critical_media,institutional,0.4645,0.2085,0.3269,0.4645491747532996
B014,popular_media,1,1,0,False,popular_media,institutional,0.5424,0.175,0.2826,0.5424274427087644
B002,popular_media,1,1,1,True,popular_media,popular_media,0.0756,0.8021,0.1223,0.8020630899795962
C033,critical_media,2,2,2,True,critical_media,critical_media,0.2298,0.1657,0.6045,0.6044785716730813
A021,institutional,0,0,0,True,institutional,institutional,0.5526,0.1558,0.2916,0.5525741690106897
B004,popular_media,1,1,1,True,popular_media,popular_media,0.1951,0.6295,0.1754,0.6295224718689718
C028,critical_media,2,2,0,False,critical_media,institutional,0.5644,0.1402,0.2954,0.5643885059592878
B044,popular_media,1,1,1,True,popular_media,popular_media,0.1238,0.7481,0.1281,0.7480776808378445
B008,popular_media,1,1,1,True,popular_media,popular_media,0.2324,0.6235,0.1441,0.6235053602258954
A039,institutional,0,0,0,True,institutional,institutional,0.4619,0.25,0.2881,0.4618677186860837
C009,critical_media,2,2,2,True,critical_media,critical_media,0.4253,0.1374,0.4373,0.43726929562369404
B036,popular_media,1,1,0,False,popular_media,institutional,0.4322,0.3359,0.2319,0.43221342601113377
