prompt_id,register,label
A001,institutional,0
A002,institutional,0
A003,institutional,0
A004,institutional,0
A005,institutional,0
A006,institutional,0
A007,institutional,0
A008,institutional,0
A009,institutional,0
A010,institutional,0
A011,institutional,0
A012,institutional,0
A013,institutional,0
A014,institutional,0
A015,institutional,0
A016,institutional,0
A017,institutional,0
A018,institutional,0
A019,institutional,0
A020,institutional,0
A021,institutional,0
A022,institutional,0
A023,institutional,0
A024,institutional,0
A025,institutional,0
A026,institutional,0
A027,institutional,0
A028,institutional,0
A029,institutional,0
A030,institutional,0
A031,institutional,0
A032,institutional,0
A033,institutional,0
A034,institutional,0
A035,institutional,0
A036,institutional,0
A037,institutional,0
A038,institutional,0
A039,institutional,0
A040,institutional,0
A041,institutional,0
A042,institutional,0
A043,institutional,0
A044,institutional,0
A045,institutional,0
A046,institutional,0
A047,institutional,0
A048,institutional,0
A049,institutional,0
A050,institutional,0
A051,institutional,0
A052,institutional,0
A053,institutional,0
A054,institutional,0
A055,institutional,0
A056,institutional,0
A057,institutional,0
A058,institutional,0
A059,institutional,0
A060,institutional,0
B001,popular_media,1
B002,popular_media,1
B003,popular_media,1
B004,popular_media,1
B005,popular_media,1
B006,popular_media,1
B007,popular_media,1
B008,popular_media,1
B009,popular_media,1
B010,popular_media,1
B011,popular_media,1
B012,popular_media,1
B013,popular_media,1
B014,popular_media,1
B015,popular_media,1
B016,popular_media,1
B017,popular_media,1
B018,popular_media,1
B019,popular_media,1
B020,popular_media,1
B021,popular_media,1
B022,popular_media,1
B023,popular_media,1
B024,popular_media,1
B025,popular_media,1
B026,popular_media,1
B027,popular_media,1
B028,popular_media,1
B029,popular_media,1
B030,popular_media,1
B031,popular_media,1
B032,popular_media,1
B033,popular_media,1
B034,popular_media,1
B035,popular_media,1
B036,popular_media,1
B037,popular_media,1
B038,popular_media,1
B039,popular_media,1
B040,popular_media,1
B041,popular_media,1
B042,popular_media,1
B043,popular_media,1
B044,popular_media,1
B045,popular_media,1
B046,popular_media,1
B047,popular_media,1
B048,popular_media,1
B049,popular_media,1
B050,popular_media,1
B051,popular_media,1
B052,popular_media,1
B053,popular_media,1
B054,popular_media,1
B055,popular_media,1
B056,popular_media,1
B057,popular_media,1
B058,popular_media,1
B059,popular_media,1
B060,popular_media,1
C001,critical_media,2
C002,critical_media,2
C003,critical_media,2
C004,critical_media,2
C005,critical_media,2
C006,critical_media,2
C007,critical_media,2
C008,critical_media,2
C009,critical_media,2
C010,critical_media,2
C011,critical_media,2
C012,critical_media,2
C013,critical_media,2
C014,critical_media,2
C015,critical_media,2
C016,critical_media,2
C017,critical_media,2
C018,critical_media,2
C019,critical_media,2
C020,critical_media,2
C021,critical_media,2
C022,critical_media,2
C023,critical_media,2
C024,critical_media,2
C025,critical_media,2
C026,critical_media,2
C027,critical_media,2
C028,critical_media,2
C029,critical_media,2
C030,critical_media,2
C031,critical_media,2
C032,critical_media,2
C033,critical_media,2
C034,critical_media,2
C035,critical_media,2
C036,critical_media,2
C037,critical_media,2
C038,critical_media,2
C039,critical_media,2
C040,critical_media,2
C041,critical_media,2
C042,critical_media,2
C043,critical_media,2
C044,critical_media,2
C045,critical_media,2
C046,critical_media,2
C047,critical_media,2
C048,critical_media,2
C049,critical_media,2
C050,critical_media,2
C051,critical_media,2
C052,critical_media,2
C053,critical_media,2
C054,critical_media,2
C055,critical_media,2
C056,critical_media,2
C057,critical_media,2
C058,critical_media,2
C059,critical_media,2
C060,critical_media,2
